ident,Height,Width,Average,Perceptual,Difference,HaarWavelet
5d33e6224a522400d7a4bb76e47fcfbf,6464,6400,fffffffffff3fff3ffe7ffc7ff8fff9fff9fff9fff9fff9fff9fff9fff9fff9f,ec9bdb64924db69bb4b625a5692d4b499a5a66d24ab66c94936d24c96db22549,0002000800160026000d004a009a00b400340034013001300128012801280028,00ff00ff00f300e300c300c7008f008f009f009f009f009f009f009f009f009f
85924446350920fb124b657160c966d7,1088,6592,ffff847f803f003f0007000300037f81ffc0ffe0fff0fffcfffcfffeffffffff,efef2ffdb764d622ca92e1164002c942ccabe09d10dd19ea9c96c89a314d39fc,30c038e81d605d6a594d1356c337c1331c8b8141000100090000000000000000,d07f803f001f000700070003000120006a00ffc0fff0fff0fff8fffcfffeffff
73ca95633a46136d909f5ad45c7ddda1,832,3584,fffffff9fff83ff03fe01fc09e019c0180038007c007c00fc01fc07febffffff,efabc2be90073d04e3f527a1cd68185f237dc74b36520cd79156c778ba447601,4001000140136821680175093023388b351f2f1e0b2d1a1a8d78967016280480,fffffff9bff03fe01fe01f800c008c01800380038007c00fc00fc03fe3bfffff
0005f7aaab2800f6170c399693a96917,7360,6912,ffffdfffcfffcfffe7ffe7fff3ffe3ffe7ffe7ffe7ffefffcfffcfffffffffff,9e1c30f0c3c30f0ff078f0f0f01fee1e1f0fe1871fc1f0780fc01e1ef0780fc3,00003000340090005a002d002d000d000c004e005a005a009c00b40000001000,ff008f008f00cf00e700e700f300e700e700e700e700ef00cf00cf00ff00ff00
e47409feff05e7815c2908a2af47746b,5824,1536,f3ffe1ffe3ffe3ffe3ffc3ffc3ffe3ffe3ffe1ffe1fff0fff87ffc7ffc3fff3f,bc739c7fe3f871fcce4e63019cc8663ed1e366688b866641c91c64479f130e0c,66604e604e3046700e600e609e600ee00ee04f7803580798019e08c604e60066,203f813f803f803fc13fc03fc03fc03fc03fe03fe00ff00ff00ff003f803fe3f
28ca3539cc4b25b0a3d571c1fe108aba,3136,6656,fffcfff8fff1fff3ffe7ffe7ffcfff8fff9fff3ffe3ff87fc0ff03ff07ff3fff,efeec8081aeb76c2c4923d24e36d0c49f9d20776fcc42395ae35a0cd2fb9a823,0004000900130026000d004d009a00940134026810d081d007a01e407900c200,00fc00f800f000e1002300070087008f3f003e00380020008000010000001c00
e02e32f144507cd186bc132d182cfdcc,4352,4864,fffffffffffffffffffffff7ffc1ff80ff18fe39fc7ff8fff9fff3ffe7ffffff,f2b9cf07995c33a54eb859c2a33cb665548f4b326967b64c94d195966924694d,00000000000000000011004c008f0133026304eb018001a0134026800d000a00,00ff00ff00ff00ff00ff00e3008000000e180e390c7f08ff300f210f230f270f
c8b78becc5b3eb17f81bfdbc55d2029e,7871,5976,fffffffffffff7ffe7ffe7ffe7ffcfffcfffcfffcfffcfffcfffcfffc7ffe7ff,9f07e07ce0f8c7c11e0f1e1ef0f83e0707c10f0fe03e1fe0e1e01f07c1fc1e1e,0000000000000c000c002d004a009a0090009400b400b400940010001c000c00,ff00ff00ff00e700e700e700e700c700cf00cf00cf00cf00cf00cf00c700c300
fb61630580f124fe00a2b7816cd483a1,8696,9213,fffefffcfff9fff3ffe3ffe7ffcfff9fff3ffe7ffcfffdfffdffffffffffffff,e39c4ae3daa2379ca4e38daa39286263eeda9896b235aee5a8892b3baa6688cc,00000005000b00120025004c00980134026800d009a00b400100000000000000,00fc00fc00f900f100e300c700cf009f0f0f0c0f0ccf0dcf0dff0fff0fff0fff
d5ac3e845ce7d8ae724837805912da91,2048,4480,ff3fff39ff10fe00884488eca1ff27ff27ff3fff3fff1fff1fff1fff8fffffff,87ee722ee6c080ddbc1d9ddfb103092069386f36c0fe96b291bf1f821bf8fa00,00680063027320d531cd53885ac04a084c004c00500068003000340034001000,fe33fe10fe0088008000004000cc01ff0100070017001f001f000f000f008f00
202ae5085bfd89bb3b20f96d3db3b126,8832,6144,f3ffe3ffe7ffe7ffe7ffe7ffefffcfffcfffcfff9fff9fff9fff9fffbfffffff,9f1c7c1ee07c07e0f00301ffff80038fc3c0e19fc3cfe380c3fef00c079fe3c0,24000d000c000a004a004a0058001c009400b400300028002800600040000000,f300e300e700e700e700e700e700cf00000000000000000090009000b000f000
af9e760beede5c77eddec0aaf70fe197,5876,4482,ffffcfffc7ffc7ffc7ffe7ffe7ffe7ffe7ffcfff9fff9fff9fff9fff9fffffff,9f1e7c0fc1e1c3e1f00fe0fcf0701e0ffc0f03f07f81f07801fc1f011e1f18f8,00001c009c009a001a004c004c004a005a009a00300028002800680068002000,ff00c700c700c700c700e700e700e700c700c700830093009f001f009f009f00
9800153dd8ccd37fc5453f60e6c77a78,1792,7488,fffffffefffcfff8fff90ff10fe307c383c7e387f10ff01ff83ffc3ffc7fffff,fbf8deaef30a35c88f762355a895e8217bea033c88cf33a39f8ce839606a8282,00000004000010098803b01338272c460e8d061d07382374016809f000d00080,fffcfffcfff8fff00fe007c003c1038101038003e007e00f000f081f083f0c7f
f9a89f44ec2f2cd9f7be47a65be951d7,4023,5478,ffffffffffffe7ffe7ffe7ffe7ffcfffe7ffefffc7ff8fff8fff0fff8fffffff,9f1ff83cc1f0c3c3e0070f87f83c1c7c3c3c1e01e0fe07fce103c3e70787e0f0,0000000010000c004a004a005a005a005a00580098001a003800340030004000,ff00ff00e700e700e700e700e700c700ef00ef00c70087008f000f000f009f00
6eb0214c5c18d2925fce96792123ab5c,4352,5376,ffff9fff8fffdfff9fff9fff9fff9f9f9f9fdf9fcf3fcf3fc67fe47ffc7fffff,a7f089f8f2276e07c1f8323ed84df0386c9ff00fd827658b2ef09b6707c10cd0,0000300034003400280028206800683429343034966090681cd00cd001c00800,f0f090f080f080f090f090f090f090909f1f9f1fcf3fce3f063f047f0c7f0fff
a87ae06869fe9beb4ce6e82bf5a5794c,7488,6400,fffffffffcfffc7fffffff3fff3ffe7f9f3f871f839fcb9fff9fff9fff3fffff,a6d8d326d9130d90a66cc0479d9126ccd3263f333d99f24d69b299389ec9cde6,01000000018000e00080006000600ad022402d78243434300030203000600000,0fff0fff0cff0c7f0e7f0f3f0e3f0e3f9c30841080808090f090f090f010f0f0
baf9bcfaaaf14467f766dcad728948da,8535,5976,ffffffff1fff87fff1fff9fff9fff9fff3fff3ffe7ffe7ffe7ffe7ffcfffe7ff,bc7e01c3c71cce38e1c3f18ef01c7c613c710f0e0f1c07c3c3c741e3e0fff078,2000040072001d00068012800280168006002d000c004d000c005a001a001800,ff00ff000f008300e100f900f900f100f300e300e700e700e700e700c700c700
1febe89c017446eadebd0fce9a68b537,4992,1088,c0ffc0ffe0ffe07fe07ff07ff03ff81ff81ff80ffc0ffc07fe07ff07ff03ff07,f14e98b7cc5a6d8984c4c640932ccce6c63360cdd067e072c0be667fd0dde46f,07e09ba04db04df80dd802dc036c107612b600da09df08ad046d026f026e0247,c07f403f803fc07fc01fc03fe007f01ff007f007f807fc07fc03fe01ff01ff03
1879de2690c241fab002235b2d6e0d6a,6272,1984,ffdffc0fc03f83ffc1ffe1ffe0ffe1ffe1ffe1ffe1fff3fff3fff1fff803fc03,b8e62f07e783c070e39cc0f3c6389dc68e709f8e9c67da9c98e3738e93087330,101c00be03fe1ec00ee046f04b704f700760476046c02780268206c013670073,ffc7f807c01f807f807f803f803f803f803f807f80ff80ff81ffc07fe001fc01
0896c0e0ee1979a0075927acb663f2a4,5312,5632,ffffffffffdfff1fff3ff27fe07fe0ffc3ffcbffe387e707fe3ffe7ffeffffff,b666b2e4c3894d9999b333766c2e9667e6cc6d9831a764d3c932930c338f1932,0000004000300274025004d002a00aa0142416d04d1d0a340260088400a00000,0ff00ff00f100f00fe30f230e070e07003ff03df2383270302300270027003f0
37a8139578e30b6572bfd3d2145e6543,4224,1024,fffbffc3fe07f81ff01ff01ff01ff00ff00ff01fe03fe07fc07fc0ffc1ffffff,b0b2e0fccf0b1b6cc8f11b93907c3391d187b68ca7b83c2fe76c2c632538ac4e,01030407004d01bb03b304fb01f321be21fe21fe4aec0fd813f013a097e01400,ffe1ff01fc03f801f00be00fe00fe007f007c007e01fc03f803f807fc0ffe3ff
1b176c9049260a8843b97349ccdd3eb7,7680,3264,f8fffc7ffe3fff8fffc7fff3fff9fff9fff8fff0ffc1ff07f83fe0ff87ff1fff,eaa7e322b55271a292ad30d5c95f198a65a90d95b2958ccab952924fdc6d4b67,038000d804e4001a000c004700130003000100430107081c40e207881c207100,e04ff80ffc1ffe07008300c000c000c003f003e003800003f00fc07f01ff0bff
8565d11c58ff93fb0745f99ccd11281c,5056,6144,fffffffffff3fff3fff3fff3fff3ffd3ffc3fff3ffe3ffe7ffcfffdfff9fff9f,cad69256a52a69699695a5a55a4bb4966d2d4a5a96b469696b5a96946b694b5a,00000004000600160016001200120012000200120026004d005a009400b40020,00ff00f700f300f300f300f300f300c300c300f300e300c700cf008f009f001f
76512fc338f0cdc3252fb1e4a0d7709c,6784,1536,fcfff87ff83ff87ffc3ffc1ffe1ffe0fff0fff07ffc3ff83fe07f81fe03ff7ff,e716b33c930ec9cc9cb164b3cb193489cd2c1b36cc3b1cc9c6f42e69e6c91e26,09b001f000f800d808e8047804bc045c025c003d0087000f041c007a03e40f90,e01fe01fe01ff00ff00ff00ff00ff807f807fc03fe01fe01f807e00fc01fc0ff
2fe01d7bbc55749e8108f0ce9c8fd6ca,2688,768,fffffffffffffffffffffffffc1ffc1fff1fffc1ffc1fff3ffc1ffcfffffffff,ea59b49b99244b64249b265bdb4699ac265b6653492d9cd2ad566b25b6928d4f,000000000000000000600000003400750030010b00070007004f001800020000,0ff00ff00ff00ff00ff00ff00c100c10020703c000c100e100c100cf00ff00ff
de968c43966646a7f5f5959707b38421,6199,6722,fdfff9fff3fff3ffe7ffe7ffe7ffbfff9fff9fff9fffbfff1fff1fff3fffffff,bcf8387070c3c3c7c387c70ece1c0e3cce38c4318fe1cc738c770e63cc63cce3,0b001340268025000d004a000800600068003000700060006000700040002000,f800f000f100e300e300e700e700bf009f009f009f00bf001f001f003f00bf00
f5e8369558d2238497eaeb1b6be9391e,3776,1600,ff03fe01fe07fe0ffc1ffc3ffe1ffe07ff87ffc3ffc1fe03f81ff1ff81ff83ff,ef3366313ae54b264e6432cc96d998cce5949ce6d1ba8d4ad948372af05a135b,004300ab008c00380034017800f8005f001e009f0403083621f803001f500e00,fe00f800f801fc07fc0ffc0ffc07fc01ff01ff80ff00f801f007c07f00ff01ff
92d63d4d12f72506fc03dd25f0bc776b,3840,7680,ffffff1ffe1ffe7ffefffdfff9fff9fffbfff3fff3fff3ff83ff07ff9fffffff,bce7e08e06381c71e1c71f9cf1981f3fd83183e33e3ee1c00f9ce0600fc77c1c,00800174027004e005000b401380128016801680060005000d001c0030000800,0fff0f1f0e1f0e3f0cff09ff09ff09fffb00fb00f300f300830007000f00ff00
085a35715e8a0f0edeccff03290a6baf,1152,4480,ffffff8fff0fff01fc00fc00f840f074e0ffe1ffc3ff47ff0fff1fff3fffbfff,fcaa64a887dd9c41b17e03d27e1290ff97089262dae7488cbdf8831b637228b7,0028003a023b047b0839011112d525c5432107458e009d003a00740068007000,ff07fe00fe00fc00f800f800f000e000e060c0fc01ff03ff07ff0fff0fff1fff
3cb4631d3f2db61bfa503633d37dc45a,1728,576,fffff81fc00fe007e007e00f800fe00fe00fe01fdd1ff83ffc07f04ffeffffff,bd9f3c2dc378c2d89495c3b587ccf932ca0a8b640dd23b2d9c250d0f306787fa,013841b303bf02df81bd013b073b0f3a897e0336337360ef11b7009f01ce0080,fffff01b8007e007e007c00f800fc00fc00fc01f881ff81ff803f007fc67ffff
d38023a1ae94edce5f0ef2d2043bd17e,5796,6225,dfffcfffcfffcfffcfff9fff9fff9fff9fffcfffcfffcfff8fff9fffffffffff,8fc0ffc0f03f3e07e07c01fcfc0707e0fe08f03f0fe1f00f80fc3f0307f007f0,2000b000b400b400b4003000280028003000b400140010003400200000002000,df00cf00cf00cf00cf009f009f009f008f00cf00cf00cf008f001f00ff00ff00
a1697f266e95a820c676d18f380c6ce8,832,6464,ffff3fff1fff1fff0f7f007f001f000f000f0001f2b0fbf8fff8fffdffffffff,96bf2756c14958bb2d1ff48eda422f5c85e0c9d14a93bd44f3484a3cac66c5c3,50004400ea80b460ba503af41afc19fa5dfe55b355b105012691000900100001,1fff17ff1fff077f007f001f000f000f00010000008060d0f2d8fbf8ffffffff
434832e9d4adaa4aa96cb3ede61d66e3,5888,6400,fffffffcfff8fff9fff9fff9fff9fff9fffbfff8fff0fff1fff1fff1fff9fffc,d2a5b529b54a554aa54a2ad5ad52ab55aa555aad5aaba5a956aa52ab556aa54a,000200050001000b00030003000b000b000b0011001100130013001300030001,00fd00fc00f800f900f900f900f900f900090000000000010001000100010008
6b41aaf5ecafc9000a9f40fee0db9e64,6592,6144,ffffffffffffffffff3ffe3ffe7ffcfff9fff9fff9fff3ffe3ffc7ffdfffffff,b04ce74dcc7119c6e39e263164e74dcc989993b33336e2660ece60d82f93e473,00000000000000a00168027004d001a00b401340128007000d001a0014000800,00f000f000f000b0013000300070007008ff09ff01ff03ffe3ffc7ffdfffffff
3ec8cdd4bcb971eea9c54d7dd1a49e1c,1728,3584,fffffffffefffffffdfff9fbf1f1f1f1f9f180f101f103f907ff0fff1fffffff,9bcff00085711fb7f0900fc3bcd4858f5e2a5af0b81d9fe4c0072f5852abd6a5,0000008000800102034713562343230753835b0337833e831f00780234002000,fe7ffc7ffc7ff8f3f841f041e06080e000e000e000f000f001f903ff07ff1fff
b578ce675d9949d4d8b361150617024b,7085,5478,3fff3fff9fff8fffcfffcfffcfffcfffcfffe7ffe7ffe7fff3fff3ffffffffff,9fe107e7c0fc383ec30ff001f80cfe03fe01ff00fee08fc023e0f03e3c1f0fc1,500068006800340094003400b40094009c004a000a002c002d00040000000000,3f001f001f008f000f000f000f000f00cf00e700e700e700e300f300ff00ff00
b3438f39bb7db17a8c77e5520613de21,8512,2368,ff3fff1fff0fff0fff83ffc1ffe3ff87ff0fff0ffe1ffc7ff0ffc3ff83ff8fff,ecd2e0dc96a5b4bc8ecd9b69c3663c98e1a49e67d0d89792d866498cd83321f2,0078007c003c003e001f00070027000f003c013c007000c041900f001e003c00,0c0f0c070e030e010f000f000f800e013c033807300f201fc03f80ff01ff03ff
d84c7a217e2277033342f89adf0ce7b6,1216,4160,fffefffefffcfff0fff0ffc0ff83ff0ff80f301f001f007f00ff00ff87ffffff,b1d2c4569f5c35d1e5250b296a6b1292f2040efda093fb2606ede42bbd4bb39a,000000000000000200070087000f401e907ee3b877743be0338037401c001100,f00cf00cf000f000ffc0ff80fe01780310030007000f001f003f007f00ff83ff
beaeb46f623d7739758358065ecb0bab,5888,4160,efffe3fff9ffe07fe07ffcfffc7ffe7ffe3fff3fff1fff8fffc3ffe1ffe0fff8,f3393116d9ceccc5c662cb3134993a2c3536428ac7c5c7cac1cd79f238733875,19000f80020003c041d001a000a000f000500268002e0034009b004b00050012,80ff80ff807f807fc03fe03ff81ff81ff80cfc04fe00fe00f001f081f080f0c0
64308cde14c3486f9c91a5b6ed776cd2,4672,5632,fffffffcfffcfffcfffcfff9fff9fff9fff9fff1fff3fff3fff3fff3fffbfff9,daaa95aaa55aab56a6a5ab5baad5aa4552a9a54a5ad4b5ab4a5a149454ab556a,0000000400050005000100010009000b000b0013001600160006000600030003,00ff00fc00fc00fc00fc00fd00f900f900f900f100f300f300f300f300f100f1
c7a8e1aad9f0b62c62895b91f14f3296,6656,6656,ffdfffdfffcfffcfffc7ffe7ffe7ffe7ffe7ffe7ffe3fff3fff3fff9ffffffff,cb5bad2ab4b45ad2a54a52a5a94a526992d4b56ad2a5b6d65a69a96996a55ad4,0010001400100018004a000c000c002d00250025002700160012000b00010000,00df00df00cf00cf00c700e700e700e700e700f700f300f300fb00f900fd00ff
70fa73960db8729c176876aefff96562,7040,1024,ff07ff03ff03ff03fe07fc07fe03fe03fe07fe0ffc1ffc1ffc0ffc0ff81ff83f,e75a4e5898c6648cc8639398b1b9a52999eb96d2cca4b1cb933834b7966732f3,001f001e0277023704ad012d00b70c97082d045d00fb1073003a185e12f426f8,ff03fe01fe01fe01fc03fc07fc01fc01fc01f801f809f80bf80ff80ff00ff01f
f7d0df1726b8d909d107938d114294e1,7709,7968,ff9fff9fff8fffcffe0ffc3ff0ffe3ffe7ffcfff8fff9fff9fffbfffbfffffff,adb26496c1b68fc0980f32f873c1e60fcc7c99e09987b30f267c66616cc7998e,003000b400180118043000e003100c4059009400340028006800600060000000,ff10ff00ff80ff80fe00fc30f030e330c700cf008f009f009f009f009f00ff00
98761fc7b42140e02f2bb550dfdacbcb,1536,5440,fffffffffff93ff91ff19ff18fc38f83c787c307e11fe13ff17fffffffffffff,eee6cbb9903d346ecd109bc036d4ce3d69e965879d271249c09231f6676c990b,0001400140015003681336233307329e9c2d8e7c4670066826d0020008400000,fff93ff01ff00fe007c00381000180038003c003c007c01ff01ffbffffffffff
cbf4271aff5c3365e6d9c7de7e49468e,8535,6225,ffffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffffff,9e1e1e1ee1f0c3c3e1e1f078e3e13878c3c33c3ce1e03c3cc3c31e1e0f871e1e,00004a004a004a004a004a004a005a005a005a005a005a004a004a000a000800,ef00e700e700e700e700e700e700e700e700e700e700e700e700e700e700e700
a97131332ef816130b9e024155c311e5,7951,5727,f9fff87ffcffe1ffc3ff9fff9fff9fff8fffcfffe7ffe7ffe3fff3fff3fff7ff,bfec63cef03cfe0fc3f084f08e071c63dc3c387fc1d9c398c3808e1c1e0f1c38,038002c0234003809e0030006c006800300098005a004a000d00260025000800,f8fff87ff8ffe1ffc00f8c0f900f900f8f00cf00c700e700e300f300e300e700
251e12eeb15fcbbd0a39cd7928c74345,4992,1472,ffc3ff81ff03ff07fe07fc1ffc1ffc0ffe07ff81ffe1ff8ff007c00ff81ffc7f,eed1ca7519c4c8a593b53531d3b62d62c56e92c85a1ca4ce9e3561b39e49334e,0007000b0037006f006d00ba017400fc005e00070203001c003f057e13f402f4,ff81ff01fe01fc03fc07f80ff00ff807fc03fe00ff81ff03e0030007c007f83f
c445380a860360322df76605978e1618,3200,2240,ffffcfffc7ffc0ffe07ff07ff03ff81ffc0ffe1fff0fff87ffc7ffc1ffe3ffff,ed1d360b9b46cda1e6d069e0b4fb7a36ad1bd8cdd2d2e469483496125a492db4,0c003f001e000f800dc006f0036011bc095e0436001b010d009f000f00470004,83ff01ff00ff807f803fc00fe007f007f800fc00fe00fe00ff00ff80ffc0ffe3
fce06ebb6c102f4f526a09e8273bded9,7427,7968,fffdfff9fff1fff7ffe7ffc7ff9fff9fff3fff7ffc7ff8fffbffffffffffffff,e36b4ceb9ba63237e4cc8d913333ce6c98c93313cc7639cc6339c867319c2631,0001000100070004002c000c003000280060005000a001800200010000000000,00fd00f900f100f700e700c7009f009f0e3f0e7f0c7f08ff09ff0fff0cff0cff
4a2aec11bc2def9644ba9756f888ec24,6528,1664,ffffe1ffe0fffc3ffe1ffe1fff1fff1ffe1ffe03fe17ff1ffe3ffe3ffe7fffff,e66c399999b61966989bcccecec76723c689e706c339d399a49c593c19981cd8,30c04730039c10ec0c6e0e740a740274006104ef04670273006600e600ec0020,80ff801f800fc007f407f01ff01ff017f011f001f001f81ffc17f017f80fffff
1c0fbb1d600f761847294c4b8019edfe,4096,1344,f1ffe07f807fc3ffc1ffc1ffc1ffe0fff07ffe7fffffffffffffff1fff03ff83,b8863b224e75e33a713cbcccccc7e4c391f34cd987e0678093c948dca66e6327,03a048d00bc01700968093400b4047a001f000c0040000a800020078001f0017,c03000000030007000f0007000308030c01ff83ffe7fff7f0f3f0e030c000e00
415003c963bf2f51f949fed42d5d7220,7850,5229,ffffc7ff87ff9fffcfffe7ffe7ffcfffefffc7ffcfffc7ffe7ffc7ff1fff3fff,9f0fefc0c1f03f03e07f783ee007e00fe00f83c1f078c1f8e7c00e3f1f83e0f8,00009c003c00340098004c000c0018005a001a0094009c004c001a0070004800,ff00c70087008f00c300c300c300c700c400c400cc00c400e400c40010001000
63640094b0365a514d60fc15e94de729,2816,8576,ffe7ffc3ff80ff90ff18ff3ffe7ffe7ffcfff8fff1fff3ffc3ff07ff0fff1fff,ea946ad44d84b93ba32bbe68b0ed0789f4b90687f69602f4fe86817e9600d2bd,004d004e00920133006b026802d204d001a011a0034046800c009a003c00e000,00c70080000000000e180e1c0e3f0c3ff870f070e0f0c1f001f003f007f00ff0
278ae74156d22b4e8457cd1bf2960f58,4160,8192,ffffe7ffe37fef7ccff9cff9cff999f99ff99ffbbffb3ff33ff19fe09fe7ffff,9ebdbc02f45ae0f4a1f04bc1a28147abd007554a47d6a34776aeaa572aaf1eb1,00000f004ad05ac19c09940b360b220b2a0368126002500270036829682c6008,ffc3e1c3e042e340cf09cf098f0999099009900b300b3003302090209020b027
e04ea71e821b0dffc431297b25b359de,4480,1856,fff7ffe1ffe1ffc1ffc3ff87ff0ffe0ffc1ffc3ff83ff87fe0ffc3ff8fffdfff,ebd54a5d9b65b25ba6dabcaaa18a0f1af03687a4bc2d0789bc2b05e8c71618f1,00070007000f004f001f013f003a027c00fc097801f021c007e00e0038803400,ffc0ff80ff80ff00ff01fe01fc01f8033807300f201f201f807f00ff01ff07ff
c0908bfcf70cd527ccd3baa20f331a0a,4288,1344,c7ff81ff81ffc1ffe0ffe07ff07ff83ff81ffc1ffc0ffe0ffe07ff03ff03ff87,bc5f98bfcd4ee7a1f2c86a6097304b18b7836ec1d622ce06c527e21983bd619c,1e804f804f8017c049a009c004f00078027809b4009a049e00cf004f0036003f,81ff00ff00ff007f007fc03fe03fe01ff00ff007f807f807fc03fc01fe01ff01
199cac82a1dd58d80c3f29213f2de1cc,9024,7680,3fff9fffcfffc7ffe7fff7fff3fff3fff9fffdfffcfffcfffefffe7ffe3fffbf,b7389cf4c763e383c0c6e071d838700ed91f660f9b136ec59b23cfc1f3209cd8,5000280034001a004c002d002500168012800b40014005c005a004d000680120,3f001f008f00c700040004000300010008ff08ff0cff0cff0eff0e3f0e3f0f3f
3a88831048e734048b59f99f3e2e7133,4608,2816,fff8fff1ffc3ff0ffc1fe0ff81ff07ff0fff1fff0fff8fff87ffc7ffc7ffc7ff,8fbf60a0fe008bfe98be9f80b3b0b43fa5e02c6eadcb1908f1781b5a83726e42,000100130006003800f20180132078007800780078003c001c001e001c000c00,0ff00f800e000801f007801f007f01ff07000700070003000300830083008300
3b31f5eba8578eb248aafbabbb5240d4,7790,5229,ffffffffffffffffffffffff9fff9fff9fff8fffcfffcfffcfffcfffe7ffe7ff,9f07e0f07c0f0f83c1f81f07f0381f8707f0f81fe7c11e3cc1e1fc1f07c007f0,000000000000000000000000200068003000300010001a0098009a005a000a00,ff00ff00ff00ff00ff00ff009f009f008f008f00cf00c700c700cf00c700e700
50a2d366ac2a7467c3a7aea06cb1a676,6016,4608,ffffffffffffff9fff9fff9ffefffe7ff8fff1e7e3e7e7cfc7cfc7cfcf9fffff,ad33d2d9cc86196cb3494736c8693cc2e3be0f3198e7918c0e18e4f33d87f31c,00000000003000b400b40030048008a811a0272d0c8d4a1a1a9a9a983c940010,00ff00ff009f009f009f009f007f007ff877f1e7e3c7e7c7048f048f008f30df
1a1dd1f3590e710d0613a768a5c928c7,7296,6400,fffffffdfff1ffe3ffc7ffcfff9fff9fff3fff3fff3fff3fff1fff8fffcfffef,ececdbb3db25b64c9593a593b164296da249cb5292d2526454975aad57a444e9,0004000900130026004d001a00b40038006802500250025000600038001a000a,00ff00f900f100e300c700cf009f009f003f003f003f003f001f000f00cf00cf
